-rw-r--r-- 1 root root 68818 Jun 8 16:29 var/log/dpkg.log

2016-06-08 16:28:48 status unpacked procps:amd64 2:3.3.9-9
2016-06-08 16:28:48 status unpacked procps:amd64 2:3.3.9-9
2016-06-08 16:28:48 install sed:amd64 <none> 4.2.2-4+b1
2016-06-08 16:28:48 status half-installed sed:amd64 4.2.2-4+b1
2016-06-08 16:28:48 status unpacked sed:amd64 4.2.2-4+b1
2016-06-08 16:28:48 status unpacked sed:amd64 4.2.2-4+b1
2016-06-08 16:28:48 install sensible-utils:all <none> 0.0.9
2016-06-08 16:28:48 status half-installed sensible-utils:all 0.0.9
2016-06-08 16:28:48 status unpacked sensible-utils:all 0.0.9
2016-06-08 16:28:48 status unpacked sensible-utils:all 0.0.9
2016-06-08 16:28:48 install login:amd64 <none> 1:4.2-3+deb8u1
2016-06-08 16:28:48 status half-installed login:amd64 1:4.2-3+deb8u1
2016-06-08 16:28:49 status unpacked login:amd64 1:4.2-3+deb8u1
2016-06-08 16:28:49 status unpacked login:amd64 1:4.2-3+deb8u1
2016-06-08 16:28:49 install passwd:amd64 <none> 1:4.2-3+deb8u1
2016-06-08 16:28:49 status half-installed passwd:amd64 1:4.2-3+deb8u1
2016-06-08 16:28:49 status unpacked passwd:amd64 1:4.2-3+deb8u1
2016-06-08 16:28:49 status unpacked passwd:amd64 1:4.2-3+deb8u1
2016-06-08 16:28:49 install libslang2:amd64 <none> 2.3.0-2
2016-06-08 16:28:49 status half-installed libslang2:amd64 2.3.0-2
2016-06-08 16:28:49 status unpacked libslang2:amd64 2.3.0-2
2016-06-08 16:28:49 status unpacked libslang2:amd64 2.3.0-2
2016-06-08 16:28:49 install startpar:amd64 <none> 0.59-3
2016-06-08 16:28:49 status half-installed startpar:amd64 0.59-3
2016-06-08 16:28:50 status unpacked startpar:amd64 0.59-3
